city,country,latitude,longitude,date,cloudiness,humidity,max_temp,windspeed
Butembo,CD,0.15,29.2833,1651192362,100,99,58.53,2.33
Zheleznodorozhnyy,RU,55.7503,38.0042,1651192363,92,84,36.21,2.98
Boca do Acre,BR,-8.7522,-67.3978,1651192363,99,78,79.25,2.3
Barrow,US,71.2906,-156.7887,1651192187,100,78,8.62,19.57
Agüimes,ES,27.9054,-15.4461,1651192364,40,68,61.43,24.16
Roald,NO,62.5833,6.1333,1651192364,100,81,45.75,5.75
Puerto del Rosario,ES,28.5004,-13.8627,1651192364,0,68,64.15,13.8
Beloha,MG,-25.1667,45.05,1651192365,1,71,64.06,10.18
Dahuk,IQ,36.8695,42.994,1651192365,9,69,61.21,3.0
Qaqortoq,GL,60.7167,-46.0333,1651192365,100,88,37.08,1.07
Broome,US,42.2506,-75.833,1651192366,0,33,42.6,10.36
Narganá,PA,9.4428,-78.5906,1651192366,100,85,79.57,6.4
Grabouw,ZA,-34.1515,19.0151,1651192367,100,94,57.6,3.0
Qaanaaq,GL,77.484,-69.3632,1651192367,94,91,20.88,8.01
Grindavik,IS,63.8424,-22.4338,1651192367,100,93,46.87,11.5
Berezhany,UA,49.45,24.9333,1651192368,27,82,41.67,3.2
San Fernando del Valle de Catamarca,AR,-28.4696,-65.7852,1651192368,2,51,63.59,8.9
Berlevåg,NO,70.8578,29.0864,1651192369,100,61,21.0,22.12
Goderich,CA,43.7501,-81.7165,1651192369,5,64,37.9,10.36
Umluj,SA,25.0213,37.2685,1651192369,0,59,79.59,9.57
Tartous,SY,34.889,35.8866,1651192370,0,69,64.2,1.95
Merauke,ID,-8.4667,140.3333,1651192370,100,73,84.16,8.41
Tooele,US,40.5308,-112.2983,1651192265,40,45,67.96,14.97
Ericeira,PT,38.9627,-9.4156,1651192371,3,89,61.77,12.28
Quatre Cocos,MU,-20.2078,57.7625,1651192371,19,82,74.08,8.25
Arraial do Cabo,BR,-22.9661,-42.0278,1651192372,2,87,75.6,19.46
Libreville,GA,0.3925,9.4537,1651192372,20,74,82.42,5.75
Kudat,MY,6.8837,116.8477,1651192373,20,89,80.53,3.44
Vila Franca do Campo,PT,37.7167,-25.4333,1651192373,100,94,64.2,28.27
Laguna,US,38.421,-121.4238,1651192374,20,37,73.94,5.99
Peniche,PT,39.3558,-9.3811,1651192374,5,92,58.1,10.42
Ketchikan,US,55.3422,-131.6461,1651192375,40,54,54.07,11.5
Tilichiki,RU,60.4667,166.1,1651192375,96,98,32.05,8.05
Krasnyy Chikoy,RU,50.3643,108.7512,1651192376,0,33,38.79,10.71
Chiriguaná,CO,9.3624,-73.6031,1651192376,100,92,76.5,1.74
Lerwick,GB,60.1545,-1.1494,1651192377,90,83,46.4,3.67
Esperance,AU,-33.8667,121.9,1651192377,100,68,53.44,11.34
Nova Olímpia,BR,-14.7972,-57.2881,1651192378,59,60,77.92,2.71
Paraná,AR,-31.732,-60.5238,1651192184,0,56,58.57,8.03
Ust-Tsilma,RU,65.441,52.1498,1651192378,34,85,23.54,7.65
Emba,KZ,48.8264,58.1442,1651192379,3,39,54.14,4.29
Carnarvon,AU,-24.8667,113.6333,1651192379,0,68,64.47,18.41
Canchungo,GW,12.0672,-16.0333,1651192380,10,74,71.64,5.95
Tigil',RU,57.8,158.6667,1651192380,4,71,40.48,13.06
Mar del Plata,AR,-38.0023,-57.5575,1651192150,20,85,47.88,13.0
Kailua,US,21.4022,-157.7394,1651192365,40,69,84.18,11.5
Linhai,CN,28.85,121.1167,1651192381,100,75,63.93,5.59
The Pas,CA,53.8251,-101.2541,1651192381,100,57,44.62,11.5
Mossamedes,AO,-15.1961,12.1522,1651192382,4,70,73.13,3.44
North Bend,US,43.4065,-124.2243,1651192382,100,82,56.25,16.11
Tyukhtet,RU,56.5389,89.3011,1651192383,100,59,54.95,14.41
Yar-Sale,RU,66.8333,70.8333,1651192384,100,86,14.9,5.91
